href,Time,Type,Map,Score,Rated
/game/8850992,2023-07-23 23:22:02,ca,servitude,10:9,A
/game/8850945,2023-07-23 23:03:39,ca,okremix,10:7,A
/game/8850907,2023-07-23 22:44:45,ca,campgrounds,6:10,A
/game/8850877,2023-07-23 22:28:58,ca,quarantine,10:9,A
/game/8850838,2023-07-23 22:10:08,ca,trinity,8:10,A
/game/8850806,2023-07-23 21:53:17,ca,deadandgone,10:4,B
/game/8848967,2023-07-23 00:18:08,ca,deadandgone,6:10,A
/game/8848945,2023-07-23 00:05:47,ca,ra3map19b,8:10,A
/game/8848919,2023-07-22 23:52:41,ca,asylum,10:9,A
/game/8848888,2023-07-22 23:37:40,ca,campgrounds,7:10,A
/game/8848860,2023-07-22 23:21:23,ca,trinity,7:10,A
/game/8848827,2023-07-22 23:04:26,ca,servitude,10:9,A
/game/8848790,2023-07-22 22:44:11,ca,corrosion,3:10,A
/game/8848761,2023-07-22 22:29:03,ca,okremix,10:8,A
/game/8848735,2023-07-22 22:11:36,ca,almostlost,6:10,A
/game/8848711,2023-07-22 21:56:37,ca,quarantine,10:5,A
/game/8848681,2023-07-22 21:41:47,ca,campgrounds,10:7,A
/game/8848647,2023-07-22 21:23:16,ca,deadandgone,10:8,B
/game/8848631,2023-07-22 21:11:43,ffa,asylum,50:41,B
/game/8847070,2023-07-22 01:15:29,ca,seamsandbolts,7:10,A
/game/8847039,2023-07-22 01:02:16,ca,asylum,10:7,A
/game/8847004,2023-07-22 00:46:40,ca,hiddenfortress,4:10,A
/game/8846965,2023-07-22 00:28:26,ca,ra3map19b,10:7,A
/game/8846933,2023-07-22 00:15:14,ca,almostlost,9:10,A
/game/8846899,2023-07-21 23:59:11,ca,overek,8:10,A
/game/8846862,2023-07-21 23:39:37,ca,servitude,9:10,A
/game/8846833,2023-07-21 23:17:13,ca,campgrounds,10:8,A
/game/8846809,2023-07-21 22:59:57,ca,trinity,7:10,A
/game/8846779,2023-07-21 22:43:16,ca,almostlost,9:10,A
/game/8846751,2023-07-21 22:27:24,ca,quarantine,10:3,A
/game/8846719,2023-07-21 22:10:57,ca,asylum,10:9,A
/game/8846686,2023-07-21 21:48:42,ca,deadandgone,0:10,B
/game/8846679,2023-07-21 21:41:34,ffa,railyard,50:29,B
/game/8845486,2023-07-21 01:07:30,duel,lostworld,14:13,A
/game/8845435,2023-07-21 00:51:23,duel,bloodrun,11:8,A
/game/8841540,2023-07-18 20:44:47,duel,bloodrun,16:1,A
/game/8841519,2023-07-18 20:32:30,duel,campgrounds,8:3,A
/game/8841500,2023-07-18 20:20:30,ca,thunderstruck,2:10,
/game/8836446,2023-07-16 00:32:08,ca,thunderstruck,10:2,
/game/8836422,2023-07-16 00:22:56,ca,deadandgone,8:10,A
/game/8836389,2023-07-16 00:09:06,ca,quarantine,7:10,A
/game/8836354,2023-07-15 23:52:58,ca,overek,10:6,A
/game/8836295,2023-07-15 23:29:18,ca,servitude,10:7,A
/game/8836251,2023-07-15 23:04:12,ca,almostlost,8:10,A
/game/8836225,2023-07-15 22:45:52,ca,trinity,10:5,A
/game/8836198,2023-07-15 22:27:24,ca,asylum,9:10,A
/game/8836163,2023-07-15 22:06:41,ca,hearth,10:9,A
/game/8836139,2023-07-15 21:49:22,ca,deadandgone,7:10,A
/game/8834592,2023-07-15 00:31:09,ca,almostlost,10:9,A
/game/8834558,2023-07-15 00:16:22,ca,asylum,4:10,B
/game/8834532,2023-07-15 00:03:36,ca,ra3map19b,6:10,A
/game/8834500,2023-07-14 23:49:27,ca,servitude,10:6,A
/game/8834463,2023-07-14 23:29:38,ca,corrosion,10:9,A
/game/8834427,2023-07-14 23:07:24,ca,okremix,8:10,A
/game/8834395,2023-07-14 22:48:58,ca,quarantine,9:10,A
/game/8834354,2023-07-14 22:27:17,ca,trinity,10:7,A
/game/8834315,2023-07-14 22:06:26,ca,campgrounds,10:4,A
/game/8834274,2023-07-14 21:45:56,ca,deadandgone,10:9,A
/game/8834231,2023-07-14 21:24:31,ca,asylum,5:10,A
/game/8832852,2023-07-14 00:17:07,ca,ra3map19b,7:10,A
/game/8832820,2023-07-14 00:03:03,ca,hiddenfortress,10:6,A
/game/8832794,2023-07-13 23:49:20,ca,asylum,10:6,A
/game/8832768,2023-07-13 23:35:42,ca,almostlost,10:5,A
/game/8832743,2023-07-13 23:21:51,ca,overek,10:8,A
/game/8832706,2023-07-13 23:03:55,ca,campgrounds,7:10,A
/game/8832674,2023-07-13 22:44:46,ca,quarantine,9:10,A
/game/8832641,2023-07-13 22:27:20,ca,servitude,7:10,A
/game/8832608,2023-07-13 22:05:22,ca,almostlost,10:4,A
/game/8832579,2023-07-13 21:49:36,ca,trinity,9:10,A
/game/8832541,2023-07-13 21:26:13,ca,campgrounds,10:6,A
/game/8832511,2023-07-13 21:07:16,ca,asylum,10:6,A
/game/8831157,2023-07-13 00:38:33,ca,almostlost,10:3,A
/game/8831126,2023-07-13 00:26:18,ca,overek,10:5,A
/game/8831091,2023-07-13 00:09:46,ca,6plus,6:10,A
/game/8831045,2023-07-12 23:47:37,ca,okremix,5:10,A
/game/8831014,2023-07-12 23:29:01,ca,corrosion,10:5,A
/game/8830985,2023-07-12 23:09:04,ca,servitude,10:5,A
/game/8830951,2023-07-12 22:51:23,ca,quarantine,10:5,A
/game/8830923,2023-07-12 22:36:44,ca,trinity,10:8,A
/game/8830887,2023-07-12 22:14:59,ca,campgrounds,5:10,A
/game/8830860,2023-07-12 21:59:48,ca,ra3map13b,6:10,
/game/8829386,2023-07-12 00:08:18,ca,trinity,5:10,A
/game/8829354,2023-07-11 23:52:58,ca,overek,10:9,A
/game/8829326,2023-07-11 23:35:01,ca,quarantine,10:6,A
/game/8829301,2023-07-11 23:15:55,ca,almostlost,6:10,A
/game/8829274,2023-07-11 22:59:01,ca,campgrounds,9:10,A
/game/8829236,2023-07-11 22:36:56,ca,asylum,10:8,A
/game/8829211,2023-07-11 22:21:33,ca,ra3map17c,6:10,B
/game/8829193,2023-07-11 22:09:08,ca,deadandgone,10:4,B
/game/8827670,2023-07-10 23:52:54,ca,threestory,10:2,A
/game/8827641,2023-07-10 23:38:37,ca,trinity,0:10,A
/game/8827621,2023-07-10 23:28:24,ca,overek,10:3,A
/game/8827595,2023-07-10 23:14:34,ca,campgrounds,10:2,A
/game/8827564,2023-07-10 22:59:05,ca,asylum,6:10,A
/game/8827539,2023-07-10 22:44:33,ca,almostlost,10:9,A
/game/8827518,2023-07-10 22:28:11,ca,campgrounds,10:7,A
/game/8827476,2023-07-10 22:06:47,ca,trinity,10:2,A
/game/8827449,2023-07-10 21:48:23,ca,deadandgone,10:6,B
/game/8827428,2023-07-10 21:31:38,ca,seamsandbolts,10:9,B
/game/8827407,2023-07-10 21:14:45,ca,asylum,10:1,B
/game/8826203,2023-07-10 01:39:14,ca,hearth,8:10,A
/game/8826160,2023-07-10 01:24:33,ca,overek,10:9,A
/game/8826115,2023-07-10 01:04:44,ca,almostlost,10:9,A
/game/8826082,2023-07-10 00:48:35,ca,asylum,7:10,A
/game/8826048,2023-07-10 00:33:25,ca,campgrounds,8:10,A
/game/8826011,2023-07-10 00:13:52,ca,trinity,6:10,A
/game/8825969,2023-07-09 23:53:13,ca,quarantine,10:9,A
/game/8825930,2023-07-09 23:33:57,ca,corrosion,4:10,A
/game/8825898,2023-07-09 23:17:43,ca,almostlost,10:9,A
/game/8825867,2023-07-09 23:00:15,ca,overek,10:5,A
/game/8825825,2023-07-09 22:42:12,ca,campgrounds,7:10,A
/game/8825800,2023-07-09 22:26:36,ca,ra3map19b,6:10,A
/game/8825777,2023-07-09 22:12:11,ca,servitude,10:5,A
/game/8825751,2023-07-09 21:56:26,ca,trinity,7:10,A
/game/8825707,2023-07-09 21:38:07,ca,okremix,6:10,A
/game/8825673,2023-07-09 21:19:15,ca,quarantine,10:3,A
/game/8825649,2023-07-09 21:04:10,ca,almostlost,7:10,A
/game/8825615,2023-07-09 20:44:18,ca,asylum,10:8,A
/game/8825588,2023-07-09 20:25:30,ffa,campgrounds,30:28,
/game/8825293,2023-07-09 17:08:45,duel,campgrounds,10:8,A
/game/8823788,2023-07-08 23:35:31,ca,trinity,5:10,A
/game/8823759,2023-07-08 23:19:41,ca,overek,10:4,A
/game/8823736,2023-07-08 23:07:04,ca,campgrounds,10:2,A
/game/8823714,2023-07-08 22:53:33,ca,hiddenfortress,10:2,A
/game/8823692,2023-07-08 22:41:11,ca,asylum,10:7,B
/game/8823670,2023-07-08 22:26:01,ca,almostlost,10:9,A
/game/8823641,2023-07-08 22:08:25,ca,trinity,10:9,A
/game/8823609,2023-07-08 21:49:14,ca,campgrounds,10:0,A
/game/8823595,2023-07-08 21:39:44,ca,ra3map19b,10:8,A
/game/8823567,2023-07-08 21:22:46,ca,overek,10:4,A
/game/8823546,2023-07-08 21:10:13,ca,quarantine,10:2,A
/game/8823524,2023-07-08 20:54:51,ca,trinity,10:4,A
/game/8823508,2023-07-08 20:41:42,ca,campgrounds,7:10,A
/game/8823487,2023-07-08 20:26:13,ca,almostlost,10:8,A
/game/8823467,2023-07-08 20:11:57,ca,asylum,10:7,B
/game/8823453,2023-07-08 19:58:31,ca,hearth,1:10,B
/game/8823440,2023-07-08 19:52:12,ca,deadandgone,6:10,B
/game/8821813,2023-07-08 00:16:10,ca,ra3map17c,1:10,B
/game/8821792,2023-07-08 00:08:16,ca,hearth,8:10,A
/game/8821766,2023-07-07 23:55:27,ca,asylum,10:3,A
/game/8821741,2023-07-07 23:43:31,ca,overek,10:5,A
/game/8821716,2023-07-07 23:28:33,ca,campgrounds,8:10,A
/game/8821682,2023-07-07 23:09:13,ca,servitude,10:9,A
/game/8821638,2023-07-07 22:48:23,ca,trinity,10:8,A
/game/8821595,2023-07-07 22:29:47,ca,quarantine,7:10,A
/game/8821560,2023-07-07 22:11:14,ca,almostlost,9:10,A
/game/8821530,2023-07-07 21:53:55,ca,campgrounds,3:10,A
/game/8821507,2023-07-07 21:39:11,ca,deadandgone,9:10,B
/game/8821482,2023-07-07 21:22:09,ffa,railyard,50:29,B
/game/8819872,2023-07-06 22:33:32,ca,almostlost,9:10,A
/game/8819850,2023-07-06 22:16:45,ca,campgrounds,10:9,A
/game/8819817,2023-07-06 21:54:53,ca,quarantine,6:10,A
/game/8819790,2023-07-06 21:38:13,ca,asylum,10:4,B
/game/8819771,2023-07-06 21:26:31,ca,drunkenmummy,8:10,B
/game/8819754,2023-07-06 21:15:54,ca,hearth,10:2,B
/game/8819740,2023-07-06 21:07:58,ca,deadandgone,10:3,B
/game/8819727,2023-07-06 20:59:31,ca,ra3map13b,4:10,
/game/8818353,2023-07-06 00:48:39,ca,thunderstruck,3:10,
/game/8818339,2023-07-06 00:41:48,ca,thunderstruck,10:5,
/game/8818327,2023-07-06 00:33:50,ca,thunderstruck,6:10,
/game/8818297,2023-07-06 00:22:12,ca,almostlost,7:10,A
/game/8818264,2023-07-06 00:04:56,ca,campgrounds,10:8,A
/game/8818229,2023-07-05 23:44:00,ca,overek,10:6,A
/game/8818206,2023-07-05 23:28:54,ca,asylum,10:7,A
/game/8818170,2023-07-05 23:11:52,ca,deadandgone,9:10,A
/game/8818060,2023-07-05 21:59:58,ca,hearth,7:10,
/game/8818038,2023-07-05 21:45:17,ca,deadandgone,10:5,A
/game/8816559,2023-07-05 00:29:25,ca,deadandgone,10:3,A
/game/8816531,2023-07-05 00:17:22,ca,asylum,10:9,A
/game/8816498,2023-07-05 00:00:46,ca,ra3map19b,4:10,A
/game/8816474,2023-07-04 23:48:45,ca,almostlost,10:8,A
/game/8816453,2023-07-04 23:33:15,ca,quarantine,5:10,A
/game/8816426,2023-07-04 23:19:10,ca,campgrounds,10:8,A
/game/8816376,2023-07-04 22:57:30,ca,trinity,10:6,A
/game/8816341,2023-07-04 22:41:47,ca,corrosion,6:10,A
/game/8816300,2023-07-04 22:23:42,ca,servitude,2:10,A
/game/8816267,2023-07-04 22:08:40,ca,quarantine,10:9,A
/game/8816228,2023-07-04 21:49:14,ca,asylum,10:5,A
/game/8814342,2023-07-03 22:18:17,ca,almostlost,2:10,A
/game/8814321,2023-07-03 22:07:12,ca,campgrounds,7:10,A
/game/8814293,2023-07-03 21:48:49,ca,ra3map17c,10:9,B
/game/8814272,2023-07-03 21:34:11,ca,deadandgone,10:7,B
/game/8814258,2023-07-03 21:23:57,ca,asylum,5:10,B
/game/8812645,2023-07-02 23:37:10,ca,deadandgone,10:6,B
/game/8812606,2023-07-02 23:21:13,ca,almostlost,10:7,A
/game/8812570,2023-07-02 23:06:16,ca,okremix,5:10,A
/game/8812530,2023-07-02 22:50:35,ca,quarantine,10:7,A
/game/8812491,2023-07-02 22:34:30,ca,servitude,8:10,A
/game/8812447,2023-07-02 22:16:10,ca,trinity,5:10,A
/game/8812416,2023-07-02 22:00:10,ca,quarantine,10:5,A
/game/8812385,2023-07-02 21:45:54,ca,campgrounds,6:10,A
/game/8812355,2023-07-02 21:29:58,ca,ra3map19b,10:2,A
/game/8810609,2023-07-01 23:45:23,ca,quarantine,10:5,A
/game/8810585,2023-07-01 23:31:11,ca,okremix,10:9,A
/game/8810547,2023-07-01 23:13:01,ca,servitude,10:7,A
