href,Time,Type,Map,Score,Rated
/game/8517618,2023-01-24 01:48:06,duel,bloodrun,5:1,A
/game/8517576,2023-01-24 01:32:16,duel,bloodrun,5:-999,A
/game/8517553,2023-01-24 01:23:57,duel,bloodrun,6:-999,A
/game/8517522,2023-01-24 01:12:15,duel,bloodrun,5:-999,A
/game/8517487,2023-01-24 00:56:47,duel,bloodrun,5:-999,A
/game/8517447,2023-01-24 00:37:44,duel,bloodrun,5:3,A
/game/8515395,2023-01-22 23:00:44,ca,trinity,8:10,A
/game/8515352,2023-01-22 22:39:04,ca,campgrounds,9:10,A
/game/8515310,2023-01-22 22:18:46,ca,overek,8:10,A
/game/8515278,2023-01-22 22:01:01,ca,servitude,10:7,A
/game/8515241,2023-01-22 21:41:12,ca,campgrounds,10:8,A
/game/8515203,2023-01-22 21:20:04,ca,quarantine,10:9,A
/game/8515163,2023-01-22 20:57:21,ca,overek,3:10,A
/game/8515139,2023-01-22 20:44:00,ca,asylum,7:10,A
/game/8515110,2023-01-22 20:26:36,ca,trinity,10:4,A
/game/8515088,2023-01-22 20:11:20,ca,campgrounds,8:10,A
/game/8515067,2023-01-22 19:56:52,ca,ra3map17c,10:1,A
/game/8515056,2023-01-22 19:49:21,ca,deadandgone,4:10,B
/game/8515026,2023-01-22 19:28:13,ca,thunderstruck,10:7,
/game/8515008,2023-01-22 19:17:46,ca,thunderstruck,10:3,
/game/8514999,2023-01-22 19:11:55,ca,thunderstruck,10:5,
/game/8514968,2023-01-22 18:50:22,ffa,campgrounds,30:20,
/game/8513558,2023-01-22 01:29:00,ca,almostlost,10:3,A
/game/8513537,2023-01-22 01:18:15,ca,overek,6:10,A
/game/8513510,2023-01-22 01:04:09,ca,trinity,10:7,A
/game/8513470,2023-01-22 00:47:59,ca,campgrounds,10:5,A
/game/8513444,2023-01-22 00:35:00,ca,asylum,10:7,A
/game/8513411,2023-01-22 00:20:52,ca,servitude,5:10,A
/game/8513376,2023-01-22 00:04:46,ca,almostlost,10:8,A
/game/8513344,2023-01-21 23:48:27,ca,quarantine,10:4,A
/game/8513311,2023-01-21 23:33:54,ca,6plus,7:10,A
/game/8513271,2023-01-21 23:12:40,ca,campgrounds,3:10,A
/game/8513236,2023-01-21 22:58:03,ca,corrosion,10:5,A
